Wavelength,LightKind,Light
400,LED_R,0.000606189
401,LED_R,0.000583046
402,LED_R,0.000474266
403,LED_R,0.000439011
404,LED_R,0.000456381
405,LED_R,0.000466472
406,LED_R,0.000466192
407,LED_R,0.000425832
408,LED_R,0.000253048
409,LED_R,0.00012522
410,LED_R,0.000142992
411,LED_R,0.000383228
412,LED_R,0.000527918
413,LED_R,0.00053199
414,LED_R,0.000582892
415,LED_R,0.00069938
416,LED_R,0.000724257
417,LED_R,0.000724257
418,LED_R,0.000729196
419,LED_R,0.000737982
420,LED_R,0.000738056
421,LED_R,0.000738056
422,LED_R,0.000746476
423,LED_R,0.000746476
424,LED_R,0.000746476
425,LED_R,0.000751713
426,LED_R,0.000782035
427,LED_R,0.000823035
428,LED_R,0.000899499
429,LED_R,0.000903771
430,LED_R,0.000881212
431,LED_R,0.000872107
432,LED_R,0.000720957
433,LED_R,0.000485357
434,LED_R,0.000438819
435,LED_R,0.000430145
436,LED_R,0.000322925
437,LED_R,0.000288326
438,LED_R,0.000327743
439,LED_R,0.000373803
440,LED_R,0.000457927
441,LED_R,0.000467204
442,LED_R,0.00046881
443,LED_R,0.000469172
444,LED_R,0.000527756
445,LED_R,0.000637343
446,LED_R,0.000772094
447,LED_R,0.000820566
448,LED_R,0.000774967
449,LED_R,0.000707426
450,LED_R,0.000680884
451,LED_R,0.000748679
452,LED_R,0.000814424
453,LED_R,0.000825774
454,LED_R,0.000825774
455,LED_R,0.000825774
456,LED_R,0.000825774
457,LED_R,0.000843137
458,LED_R,0.00086941
459,LED_R,0.000822086
460,LED_R,0.000786461
461,LED_R,0.000735398
462,LED_R,0.000737549
463,LED_R,0.000741225
464,LED_R,0.000761899
465,LED_R,0.000836906
466,LED_R,0.00076112
467,LED_R,0.000646871
468,LED_R,0.00049973
469,LED_R,0.000482833
470,LED_R,0.000497109
471,LED_R,0.000492391
472,LED_R,0.00045626
473,LED_R,0.000360974
474,LED_R,0.000361619
475,LED_R,0.000455306
476,LED_R,0.000572417
477,LED_R,0.000632356
478,LED_R,0.000627812
479,LED_R,0.00059421
480,LED_R,0.000572699
481,LED_R,0.000572706
482,LED_R,0.000572336
483,LED_R,0.000539383
484,LED_R,0.000526376
485,LED_R,0.000525345
486,LED_R,0.000453347
487,LED_R,0.000385838
488,LED_R,0.000384155
489,LED_R,0.000388484
490,LED_R,0.000412304
491,LED_R,0.000412687
492,LED_R,0.000408587
493,LED_R,0.000409338
494,LED_R,0.000410569
495,LED_R,0.000400837
496,LED_R,0.000329366
497,LED_R,0.000218816
498,LED_R,0.000116732
499,LED_R,0.000111967
500,LED_R,0.000128801
501,LED_R,0.000139119
502,LED_R,0.000158016
503,LED_R,0.000164598
504,LED_R,0.000149507
505,LED_R,0.000124642
506,LED_R,0.000122099
507,LED_R,0.000127725
508,LED_R,0.000157071
509,LED_R,0.000170101
510,LED_R,0.000195166
511,LED_R,0.000219089
512,LED_R,0.000232137
513,LED_R,0.000255908
514,LED_R,0.000292677
515,LED_R,0.00031413
516,LED_R,0.000326426
517,LED_R,0.000345861
518,LED_R,0.000359971
519,LED_R,0.000375928
520,LED_R,0.000387621
521,LED_R,0.000402701
522,LED_R,0.000412425
523,LED_R,0.000398518
524,LED_R,0.000391069
525,LED_R,0.000432381
526,LED_R,0.000481482
527,LED_R,0.000548444
528,LED_R,0.000598992
529,LED_R,0.000591223
530,LED_R,0.00057122
531,LED_R,0.000569998
532,LED_R,0.000585462
533,LED_R,0.000588792
534,LED_R,0.000556662
535,LED_R,0.000548421
536,LED_R,0.000548211
537,LED_R,0.000571431
538,LED_R,0.000580832
539,LED_R,0.000567489
540,LED_R,0.00055005
541,LED_R,0.000556575
542,LED_R,0.000580149
543,LED_R,0.000590812
544,LED_R,0.000585793
545,LED_R,0.000585339
546,LED_R,0.000558131
547,LED_R,0.000538705
548,LED_R,0.000510873
549,LED_R,0.000501095
550,LED_R,0.000538767
551,LED_R,0.000561314
552,LED_R,0.000615526
553,LED_R,0.000682359
554,LED_R,0.000740574
555,LED_R,0.000774476
556,LED_R,0.00078506
557,LED_R,0.000755449
558,LED_R,0.000728091
559,LED_R,0.000706153
560,LED_R,0.000736594
561,LED_R,0.000857672
562,LED_R,0.000980367
563,LED_R,0.000977866
564,LED_R,0.000948155
565,LED_R,0.00095742
566,LED_R,0.001019805
567,LED_R,0.001101273
568,LED_R,0.001115122
569,LED_R,0.001088989
570,LED_R,0.001078862
571,LED_R,0.001014076
572,LED_R,0.000971876
573,LED_R,0.000934426
574,LED_R,0.000853792
575,LED_R,0.00078675
576,LED_R,0.000795221
577,LED_R,0.000793502
578,LED_R,0.000786155
579,LED_R,0.000783191
580,LED_R,0.000801362
581,LED_R,0.000789617
582,LED_R,0.000726942
583,LED_R,0.000606186
584,LED_R,0.00061642
585,LED_R,0.000637814
586,LED_R,0.000633657
587,LED_R,0.000606118
588,LED_R,0.000525356
589,LED_R,0.000527702
590,LED_R,0.000564166
591,LED_R,0.000550493
592,LED_R,0.000560471
593,LED_R,0.000682169
594,LED_R,0.00073058
595,LED_R,0.000732411
596,LED_R,0.000770977
597,LED_R,0.000781513
598,LED_R,0.000750488
599,LED_R,0.000765522
600,LED_R,0.000806789
601,LED_R,0.000801368
602,LED_R,0.000850076
603,LED_R,0.000890457
604,LED_R,0.00088186
605,LED_R,0.0008218
606,LED_R,0.000746331
607,LED_R,0.000730594
608,LED_R,0.000728799
609,LED_R,0.000742818
610,LED_R,0.000720955
611,LED_R,0.000654349
612,LED_R,0.000644207
613,LED_R,0.000653108
614,LED_R,0.000564591
615,LED_R,0.000465831
616,LED_R,0.000455637
617,LED_R,0.000442643
618,LED_R,0.000358781
619,LED_R,0.0003078
620,LED_R,0.000297675
621,LED_R,0.000308652
622,LED_R,0.000347248
623,LED_R,0.000366026
624,LED_R,0.000290167
625,LED_R,0.000271705
626,LED_R,0.000277967
627,LED_R,0.00032429
628,LED_R,0.000345016
629,LED_R,0.000330376
630,LED_R,0.000311446
631,LED_R,0.000305204
632,LED_R,0.000322736
633,LED_R,0.000322736
