ID,Species,TotalLength,Weight
1,Stolothrissa tanganicae,41,0.24
1,Stolothrissa tanganicae,39,0.29
1,Stolothrissa tanganicae,49,0.57
1,Stolothrissa tanganicae,34,0.21
1,Stolothrissa tanganicae,43,0.29
1,Stolothrissa tanganicae,39,0.29
1,Stolothrissa tanganicae,51,0.61
1,Stolothrissa tanganicae,43,0.39
1,Stolothrissa tanganicae,40,0.19
1,Stolothrissa tanganicae,41,0.3
1,Stolothrissa tanganicae,39,0.23
1,Stolothrissa tanganicae,45,0.44
1,Stolothrissa tanganicae,45,0.39
1,Stolothrissa tanganicae,51,0.62
1,Stolothrissa tanganicae,42,0.35
1,Stolothrissa tanganicae,42,0.32
1,Stolothrissa tanganicae,41,0.39
1,Stolothrissa tanganicae,36,0.24
1,Stolothrissa tanganicae,53,0.76
1,Stolothrissa tanganicae,41,0.25
1,Stolothrissa tanganicae,41,0.25
1,Stolothrissa tanganicae,53,0.75
1,Stolothrissa tanganicae,42,0.44
1,Stolothrissa tanganicae,29,0.11
1,Stolothrissa tanganicae,42,0.27
1,Stolothrissa tanganicae,34,0.16
1,Stolothrissa tanganicae,44,0.4
1,Stolothrissa tanganicae,39,0.27
1,Stolothrissa tanganicae,38,0.26
1,Stolothrissa tanganicae,37,0.28
1,Stolothrissa tanganicae,45,0.43
1,Stolothrissa tanganicae,42,0.3
1,Stolothrissa tanganicae,36,0.17
1,Stolothrissa tanganicae,30,0.11
1,Stolothrissa tanganicae,41,0.27
1,Stolothrissa tanganicae,49,0.58
1,Stolothrissa tanganicae,40,0.29
1,Stolothrissa tanganicae,44,0.41
1,Stolothrissa tanganicae,37,0.18
1,Stolothrissa tanganicae,26,0.06
1,Stolothrissa tanganicae,39,0.23
1,Stolothrissa tanganicae,35,0.11
1,Stolothrissa tanganicae,52,0.79
1,Stolothrissa tanganicae,22,0.06
1,Stolothrissa tanganicae,44,0.39
1,Stolothrissa tanganicae,37,0.2
1,Stolothrissa tanganicae,41,0.31
1,Stolothrissa tanganicae,42,0.32
1,Stolothrissa tanganicae,43,0.42
1,Stolothrissa tanganicae,36,0.22
1,Stolothrissa tanganicae,36,0.19
1,Stolothrissa tanganicae,39,0.22
1,Stolothrissa tanganicae,27,0.08
1,Stolothrissa tanganicae,41,0.28
1,Stolothrissa tanganicae,30,0.1
1,Lates stappersii,124,11.95
1,Lates stappersii,128,14.19
1,Lates stappersii,125,12.21
1,Lates stappersii,57,0.96
1,Lates stappersii,60,1.2
1,Lates stappersii,59,1.19
1,Lates stappersii,115,9.71
1,Lates stappersii,80,3.52
1,Lates stappersii,62,1.33
1,Lates stappersii,57,0.98
1,Lates stappersii,59,0.99
1,Lates stappersii,52,0.73
1,Lates stappersii,60,1.15
1,Lates stappersii,60,1.06
1,Lates stappersii,64,1.62
1,Lates stappersii,61,1.25
1,Lates stappersii,67,1.66
1,Lates stappersii,66,1.68
1,Lates stappersii,64,1.44
1,Lates stappersii,60,1.15
1,Lates stappersii,61,1.15
1,Lates stappersii,84,3.58
1,Lates stappersii,90,4.21
1,Lates stappersii,79,2.87
1,Lates stappersii,79,2.96
1,Lates stappersii,64,1.3
1,Lates stappersii,76,2.63
1,Lates stappersii,74,2.34
1,Lates stappersii,73,2.24
1,Lates stappersii,77,2.63
1,Lates stappersii,61,1.19
1,Lates stappersii,67,1.9
